SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
5.63.153.214,192.168.1.19,443,65403,2021-09-30 15:52:44,0.360120,682,1893.813173386648894812840164,364,1010.774186382317005442630234,17088.96,130.72474899574297,209.2,256.0,54,-1.0740123892268643,1.1872273704274166,0.6248792973027867,0.0225727330412,0.1502422478572521890767471160,0.157558,0.066049,0.0,1.827229051184277721349909796,1.0486930423837817,0.9535678788589103001862623034,5.6325025E-7,0.0007505,0.0430335,0.0430335,0.042283,0,1.0000000000000016,0.01743990147210893838521152126,False
192.168.1.19,192.168.1.1,54599,53,2021-09-30 15:52:44,0.017541,82,4674.761986203751211447465937,267,15221.48110141953138361552933,8556.25,92.5,174.5,174.5,82,0.0,1.0,0.5300859598853869,0.00007692167025,0.0087705,0.0087705,0.0087705,0.0,0,1.0,1,0E-12,0.000000,0.017541,0.017541,0.017541,-10,-10,0,False
192.168.1.19,13.127.175.43,65410,80,2021-09-30 15:52:44,0.099349,1218,12259.81137203192785030548873,752,7569.275986673242810697641647,84829.8,291.25555788688393,197.0,54.0,54,1.4729332655914926,0.49097775519716425,1.4784546085628627,0.00087988319004,0.02966282505156917787399918742,0.0573504,0.067171,0.034624,-0.9932229970941846096689514841,0.7661576387444514,0.5172208921222725190059561471,0.0001900197031875,0.01378476344329129211335843556,0.02477575,0.0317385,0.001002,-1.515314360375607417492032133,1.724639679005163,0.5563812777934590118708186658,False
192.168.1.19,15.206.9.63,64852,8080,2021-09-30 15:52:44,6.219000,1511,242.9651069303746583051937611,1613,259.3664576298440263707991639,50052.765432098764,223.72475373122833,347.1111111111111,435.0,54,-1.1785314868797336,1.3101416192114352,0.644533541479211,6.904421617386246913580246914,2.627626613007686621908214748,2.602890555555555555555555556,1.586569,0.034624,1.160349286909032954149307946,0.9774092494122728,1.009503302933477144839783153,0.00000481672622222222222222222222,0.002194704130907449270029568414,0.03152133333333333333333333333,0.030042,0.029898,2.022140450505740891958545137,0.739659305540254,0.06962599290134033892484143271,False
194.55.30.46,192.168.1.19,443,65344,2021-09-30 15:52:45,0.000000,54,-1,54,-1,0.0,0.0,54.0,54.0,54,-10,-10,0.0,0E-12,0.000000,0.000000,0.000000,0.0,-10,-10,-1,0E-12,0.000000,0.000000,0.000000,0.0,-10,-10,-1,False
192.168.1.19,192.168.1.1,53712,53,2021-09-30 15:52:45,0.003012,84,27888.44621513944223107569721,198,65737.05179282868525896414343,3249.0,57.0,141.0,141.0,84,0.0,1.0,0.40425531914893614,0.000002268036,0.001506,0.001506,0.001506,0.0,0,1.0,1,0E-12,0.000000,0.003012,0.003012,0.003012,-10,-10,0,False
192.168.1.19,34.107.221.82,65417,80,2021-09-30 15:52:45,19.292639,692,35.86860252762724684787809485,596,30.89261142552866925048460193,12342.055555555557,111.09480435895982,107.33333333333333,54.5,54,1.4267093849669932,0.4800704555093983,1.0350447611083213,67.47266169509702083333333333,8.214174437829831041950924287,6.50801175,0.033070,0.013404,2.364793369926534109934829797,0.7906586108141943,1.262163430763601654829668107,0.00005530031425,0.007436418106185262092898093831,0.0183485,0.0148845,0.012625,1.397446976704607852556588159,0.7696581765943824,0.4052875224778735097091366505,False
192.168.1.19,192.168.1.1,57959,53,2021-09-30 15:52:45,0.003200,102,31875,118,36875,64.0,8.0,110.0,110.0,102,0.0,1.0,0.07272727272727272,0.000002560000,0.001600,0.001600,0.001600,0.0,0,1.0,1,0E-12,0.000000,0.003200,0.003200,0.0032,-10,-10,0,False
192.168.1.19,192.168.1.1,49522,53,2021-09-30 15:52:45,0.004004,102,25474.52547452547452547452547,130,32467.53246753246753246753247,196.0,14.0,116.0,116.0,102,0.0,1.0,0.1206896551724138,0.000004008004,0.002002,0.002002,0.002002,0.0,0,1.0,1,0E-12,0.000000,0.004004,0.004004,0.004004,-10,-10,0,False
192.168.1.19,192.168.1.1,52591,53,2021-09-30 15:52:45,0.003001,86,28657.11429523492169276907697,118,39320.22659113628790403198934,256.0,16.0,102.0,102.0,86,0.0,1.0,0.1568627450980392,0.00000225150025,0.0015005,0.0015005,0.0015005,0.0,0,1.0,1,0E-12,0.000000,0.003001,0.003001,0.003001,-10,-10,0,False
